Product ID,Product Name,Product Category,Brand,Unit Price,Cost,Warranty Period (Months),SKU
P00001,Speaker,Electronics,Dell,131095.51,56256.41,60,SKU288266
P00002,LED TV,Electronics,HP,98374.69,26050.96,48,SKU382711
P00003,Monitor,Electronics,Apple,7545.43,11086.88,60,SKU988425
P00004,Headphones,Electronics,Dell,129083.68,75078.1,24,SKU226344
P00005,LED TV,Electronics,Dell,111517.52,21238.84,24,SKU946221
P00006,Tablet,Electronics,Bose,17579.14,37796.11,12,SKU260902
P00007,Laptop,Electronics,Sony,82138.34,62095.97,24,SKU451574
P00008,Smartphone,Electronics,Sony,25467.09,22723.85,48,SKU870871
P00009,Laptop,Electronics,LG,118609.3,11826.67,60,SKU967825
P00010,Monitor,Electronics,Sony,29297.42,118045.16,48,SKU172895
P00011,Tablet,Electronics,Bose,104202.24,92811.07,48,SKU387980
P00012,LED TV,Electronics,Panasonic,5432.11,114025.59,12,SKU902402
P00013,Speaker,Electronics,Samsung,113471.02,75363.88,24,SKU505867
P00014,Smartwatch,Electronics,Apple,129604.38,33148.4,12,SKU305209
P00015,Printer,Electronics,Samsung,13565.53,4179.31,36,SKU585723
P00016,Laptop,Electronics,LG,97053.36,77078.5,36,SKU146227
P00017,Laptop,Electronics,Bose,113144.95,31432.24,36,SKU757069
P00018,Printer,Electronics,LG,23701.15,28889.55,36,SKU244185
P00019,Laptop,Electronics,Panasonic,54724.41,26667.46,48,SKU885784
P00020,Smartphone,Electronics,Apple,94420.94,60131.24,60,SKU857604
P00021,Speaker,Electronics,Dell,61853.89,59643.03,24,SKU942227
P00022,Smartwatch,Electronics,LG,108432.51,46716.13,24,SKU597282
P00023,Monitor,Electronics,Canon,16757.25,77289.29,24,SKU195252
P00024,Smartwatch,Electronics,Bose,139174.18,69256.53,36,SKU771518
P00025,Smartphone,Electronics,Lenovo,46963.75,5773.33,60,SKU281587
P00026,LED TV,Electronics,LG,11504,50147.81,24,SKU796714
P00027,Headphones,Electronics,Lenovo,99414.25,1114.46,24,SKU951340
P00028,LED TV,Electronics,Apple,83738.56,119429.93,36,SKU536156
P00029,Smartphone,Electronics,Bose,87764.91,83420.66,60,SKU391709
P00030,Headphones,Electronics,Panasonic,104056.59,440.8,60,SKU571742
P00031,Camera,Electronics,Bose,17129.09,43682.79,60,SKU189124
P00032,Camera,Electronics,Samsung,123643.87,39711.26,48,SKU695208
P00033,Camera,Electronics,Panasonic,86325.18,4076.9,48,SKU155115
P00034,Smartphone,Electronics,LG,131272.87,72285.3,24,SKU224078
P00035,Tablet,Electronics,Bose,56355.58,86531.37,60,SKU500009
P00036,Smartphone,Electronics,Dell,39978.06,24488.02,12,SKU359434
P00037,Printer,Electronics,HP,40976.26,33316.9,60,SKU828203
P00038,Smartwatch,Electronics,Dell,72074.58,29934.18,36,SKU800584
P00039,Camera,Electronics,Bose,106770.67,38518.9,12,SKU694559
P00040,Speaker,Electronics,Apple,104028.57,16917.81,36,SKU607611
P00041,Printer,Electronics,Samsung,7729.2,108252.67,36,SKU135859
P00042,Laptop,Electronics,Apple,135935.92,8530.75,24,SKU489324
P00043,Speaker,Electronics,Bose,146150.49,69274,48,SKU581723
P00044,Printer,Electronics,LG,9564.32,60900.38,60,SKU882853
P00045,Laptop,Electronics,Sony,10548.03,92845.76,48,SKU932707
P00046,Camera,Electronics,Lenovo,20832.58,59638.13,48,SKU546179
P00047,Smartphone,Electronics,Sony,51300.19,99390.11,60,SKU542831
P00048,Smartwatch,Electronics,Sony,124186.64,26785.81,12,SKU133188
P00049,Smartphone,Electronics,Sony,27935.29,113515.35,12,SKU859698
P00050,Headphones,Electronics,Lenovo,54952.7,60220.6,48,SKU250941
P00051,Camera,Electronics,Sony,128902.3,11618.66,36,SKU404033
P00052,Tablet,Electronics,Sony,63295.92,34907.41,12,SKU921539
P00053,Speaker,Electronics,Samsung,4074,116513.92,12,SKU404182
P00054,Printer,Electronics,Apple,131565.65,68078.45,24,SKU948255
P00055,Camera,Electronics,HP,29845.14,94209.35,36,SKU397838
P00056,Tablet,Electronics,HP,71666.26,114622.03,12,SKU817192
P00057,Smartwatch,Electronics,Dell,107163.02,99502.25,36,SKU296699
