Sales_ID,Date,Product_ID,Distributor_ID,Customer_ID,Units_Sold,Revenue,Target,Profit,Defect_Rate_%,Return_%,On_time_Delivery_%
S000001,2025-06-29,P0176,D0257,C00773,267,5180,32202,8501,4.06,4.85,97.4
S000002,2024-08-04,P0090,D0165,C00692,124,38928,37888,7309,6.68,4.63,93.09
S000003,2024-06-01,P0146,D0077,C00296,153,20154,21581,7391,4.6,4.97,85.68
S000004,2024-01-05,P0198,D0085,C00651,429,33609,59006,9479,2.32,2.55,87.47
S000005,2024-04-16,P0037,D0046,C00334,179,10766,46272,8130,9.31,4.09,93.07
S000006,2024-12-16,P0060,D0047,C00248,427,31058,38605,3153,6.27,2.28,91.21
S000007,2024-09-19,P0176,D0213,C00241,66,2942,5025,134,4.51,4.71,91.21
S000008,2025-06-04,P0028,D0059,C00106,99,12532,38025,2143,1.44,4.93,88.47
S000009,2025-03-29,P0197,D0054,C00898,431,21841,48390,9568,9.99,4.39,81.8
S000010,2025-06-19,P0081,D0012,C00931,24,44374,54925,4954,8.95,3.11,82.43
S000011,2025-06-08,P0114,D0192,C00685,333,30876,42845,3054,4.23,4.94,96.71
S000012,2025-09-24,P0040,D0006,C00561,249,2254,4953,8555,1.71,4.92,97.68
S000013,2025-05-28,P0045,D0144,C00123,490,34755,19678,9420,0.3,2.38,97.87
S000014,2023-09-27,P0062,D0261,C00035,165,15923,7317,3391,1.52,1.52,89.49
S000015,2025-08-02,P0093,D0073,C00618,384,32682,37235,8698,5.34,0.94,98.71
S000016,2024-02-24,P0115,D0174,C00988,440,41879,18416,9521,8.16,3.39,96.75
S000017,2025-08-04,P0186,D0232,C00840,94,25339,2471,6879,3.64,0.17,87.68
S000018,2024-05-31,P0067,D0270,C00416,459,48592,6113,2211,4.34,3.82,84.46
S000019,2025-04-06,P0056,D0222,C00708,343,45861,32507,3116,4.73,0.26,94.57
S000020,2025-05-04,P0040,D0052,C00621,124,47508,55842,7057,0.18,1.33,94.51
S000021,2024-11-30,P0098,D0116,C00637,302,14118,56957,9163,1.77,2.49,97.8
S000022,2024-02-05,P0040,D0026,C00327,156,45679,54223,4233,5.01,0.49,81.01
S000023,2025-05-16,P0091,D0053,C00295,349,48769,8739,4955,2.79,0.18,87.05
S000024,2025-03-25,P0033,D0029,C00432,249,43277,2148,4860,5.23,2.4,80.7
S000025,2024-04-14,P0006,D0019,C00347,436,35139,25616,4965,1.08,4.43,84.21
S000026,2024-07-05,P0147,D0279,C00037,271,14163,23864,572,8.03,2.04,87.99
S000027,2023-12-28,P0080,D0117,C00700,429,34128,21140,7803,7.84,1,82.46
S000028,2024-02-03,P0168,D0106,C00512,58,9104,32045,4774,6.7,2.04,96.45
S000029,2025-06-07,P0092,D0227,C00849,195,15186,45716,3932,5.31,3.61,84.06
S000030,2025-03-21,P0097,D0186,C00970,201,9549,16545,4430,3.9,0.21,88.23
S000031,2024-10-13,P0059,D0261,C00900,72,33262,41176,2241,6.83,0.15,96.03
S000032,2024-02-22,P0059,D0016,C00535,495,31078,12602,3008,7.82,2.31,82.33
S000033,2023-11-18,P0048,D0273,C00910,247,25168,57413,6432,8.09,3.38,92.39
S000034,2023-10-18,P0169,D0160,C00773,481,29466,12158,4211,3.48,3.07,98.81
S000035,2024-12-13,P0013,D0250,C00706,98,36551,14303,1498,1.94,3.19,89.09
S000036,2023-12-16,P0107,D0224,C00878,329,33831,48836,8655,3.42,0.83,84.8
S000037,2025-07-04,P0045,D0256,C00664,81,19612,24047,9035,0.08,2.69,98.86
S000038,2023-10-21,P0089,D0180,C00018,425,37617,37564,3569,4.23,1.89,81.08
S000039,2024-02-22,P0181,D0020,C00027,65,23716,4447,2557,2.73,0.55,86.23
S000040,2024-09-01,P0170,D0112,C00536,424,32926,9276,6417,7.9,0.64,96.35
S000041,2024-09-13,P0100,D0120,C00029,5,4938,29878,3784,6.75,3.23,83.08
S000042,2023-12-29,P0191,D0194,C00651,478,42539,12610,2333,0.26,4.79,81.68
S000043,2024-04-17,P0155,D0111,C00658,459,23697,57984,569,1.44,0.53,89.16
S000044,2024-08-07,P0166,D0210,C00635,284,13609,13737,5599,5.42,2.47,86.64
S000045,2024-10-17,P0188,D0001,C00640,294,14483,44123,8603,6.18,1.24,95.94
S000046,2024-03-18,P0007,D0058,C00880,81,11523,5457,8129,7.69,1.41,86.74
S000047,2023-09-27,P0133,D0093,C00117,498,27989,55522,6772,9.68,1.12,93.4
S000048,2024-08-28,P0045,D0221,C00132,87,35926,12151,4423,7.02,2.73,91.2
S000049,2024-07-03,P0058,D0211,C00289,402,45729,11422,1088,5.45,0.28,91.94
S000050,2025-07-31,P0031,D0232,C00718,293,40164,11915,1531,4.14,3.71,90.22
S000051,2024-09-07,P0023,D0262,C00236,411,3283,49455,6796,7.38,3.03,82.71
S000052,2024-09-12,P0170,D0103,C00042,281,7236,3639,313,9.35,1.92,81.24
S000053,2025-05-09,P0138,D0050,C00160,197,41577,26606,5125,4.23,1.09,90.88
S000054,2024-05-25,P0160,D0110,C00764,252,45726,41455,7583,5.85,2.68,92.99
S000055,2024-10-13,P0107,D0088,C00691,83,4105,14698,9604,2.07,4.78,94.51
S000056,2025-04-24,P0181,D0020,C00125,27,37320,51082,3320,8.57,3.54,94.44
S000057,2025-08-31,P0158,D0014,C00260,333,20859,14681,4727,7.14,1.4,94.81
S000058,2023-10-05,P0039,D0133,C00276,182,2838,14050,3540,3.55,3.71,80.41
S000059,2024-07-14,P0159,D0296,C00213,135,25797,28235,5832,8.74,2.52,84.47
S000060,2024-06-10,P0082,D0034,C00963,90,25437,48182,2504,9.71,0.24,94.59
S000061,2025-08-05,P0100,D0208,C00473,206,18279,51973,8991,2.89,3.09,82.47
S000062,2024-03-31,P0002,D0199,C00836,27,6913,6902,7697,1.87,1.17,83.73
S000063,2025-03-01,P0077,D0080,C00702,378,49640,47300,5252,8.32,2.05,93.19
S000064,2024-07-02,P0012,D0071,C00570,59,26560,23211,9858,5.82,2.39,96.16
S000065,2025-06-10,P0039,D0155,C00431,72,27208,21193,8057,8.84,4,83.25
S000066,2023-11-23,P0194,D0078,C00715,415,36658,31294,7117,3.48,2.9,91.02
S000067,2024-12-06,P0013,D0078,C00080,227,48355,10785,9601,5.81,1.7,83.63
S000068,2024-03-13,P0046,D0172,C00955,91,44003,15306,4712,5.77,3.29,84.17
S000069,2023-09-30,P0155,D0289,C00228,68,49491,55683,780,1.88,0.96,89.64
S000070,2025-08-10,P0113,D0033,C00902,362,15646,33222,4922,9.92,4.11,93.48
S000071,2023-11-28,P0017,D0300,C00095,260,22061,16017,4000,6.64,1.01,91.48
S000072,2025-09-12,P0104,D0276,C00424,146,41214,10312,4464,6.64,2.79,81.85
S000073,2023-12-07,P0098,D0007,C00973,63,45597,27257,1887,2.97,1.03,85.71
S000074,2024-02-12,P0188,D0160,C00919,343,23873,2924,817,6.5,1.63,98.76
S000075,2024-07-09,P0192,D0240,C00948,480,4458,3440,9012,8.33,2.11,92.55
S000076,2024-02-06,P0088,D0024,C00516,460,38165,24397,3957,8.14,1.84,93.16
S000077,2024-11-06,P0109,D0214,C00165,180,23267,37210,8162,9.2,4.67,84.22
S000078,2024-10-23,P0163,D0070,C00426,468,15582,31737,2287,1.49,1.12,99.16
S000079,2024-07-03,P0070,D0216,C00997,111,33389,18591,3852,1.83,0.9,84.13
S000080,2024-11-15,P0158,D0104,C00812,191,15823,59510,880,7.1,2.59,85.02
S000081,2024-06-24,P0199,D0215,C00993,429,41856,6582,729,8.08,4.74,90.2
S000082,2024-07-29,P0074,D0054,C00893,396,8406,42021,5829,6.74,2.52,89.92
S000083,2025-04-21,P0063,D0294,C00042,392,31619,9354,4630,1.43,4.8,80.65
S000084,2024-09-20,P0156,D0203,C00797,246,8071,5647,5764,5.95,0.95,94.88
S000085,2024-08-06,P0060,D0288,C00741,278,22852,15514,7721,7.48,0.05,81.93
S000086,2024-04-08,P0079,D0045,C00403,347,46846,57554,4021,1.37,1.51,81.08
S000087,2024-05-19,P0037,D0198,C00755,425,49872,50019,7334,0.56,3.19,90.14
S000088,2024-10-17,P0022,D0216,C00724,372,38775,43043,3412,2.55,2.96,80.96
S000089,2024-01-16,P0196,D0184,C00416,297,43335,14539,2530,0.91,1.21,84.01
S000090,2023-12-25,P0148,D0027,C00300,337,23681,50390,6677,1.49,3.31,87.82
S000091,2025-08-23,P0096,D0166,C00055,123,43493,44575,9921,2.03,4.15,92.06
S000092,2024-12-05,P0068,D0274,C00336,57,11144,11985,1573,5.31,3.44,95.65
S000093,2024-03-09,P0192,D0103,C00901,160,45217,15419,8771,1.56,3.64,85.79
S000094,2024-01-10,P0017,D0104,C00881,127,12183,37554,2169,6.05,1.54,89.42
S000095,2024-06-19,P0012,D0245,C00430,225,22074,27616,660,2.91,2.65,99.08
S000096,2023-10-26,P0150,D0169,C00972,95,20880,12304,2795,3.11,0.21,87.8
S000097,2023-12-07,P0145,D0116,C00685,311,13349,42397,8010,9.67,1.8,94.19
S000098,2024-02-11,P0138,D0141,C00789,6,28493,26104,7560,8.05,4.08,85.43
S000099,2024-02-20,P0118,D0125,C00334,423,24610,42064,2103,4.24,3.95,92.46
S000100,2025-01-02,P0193,D0025,C00741,265,10357,48640,4092,4.47,4.7,96.09
S000101,2025-07-22,P0022,D0194,C00406,234,5561,46437,1561,1.15,4.84,98.28
S000102,2024-03-21,P0120,D0100,C00030,288,30844,41028,994,8.45,4.86,98.75
S000103,2024-04-11,P0050,D0005,C00535,420,8614,26814,9298,0.04,0.79,86.04
S000104,2024-07-25,P0014,D0019,C00517,384,3358,29552,5378,1.44,0.6,84.02
S000105,2024-01-27,P0192,D0170,C00575,16,32805,33439,617,5.34,4.38,96.28
S000106,2025-09-06,P0175,D0274,C00221,140,12430,11456,6925,1.88,1.92,92.59
S000107,2024-12-20,P0029,D0254,C00827,297,17041,56784,8154,6.33,1.79,88.29
S000108,2023-10-15,P0164,D0121,C00990,195,46871,25726,5399,0.04,2.67,80.73
S000109,2024-04-07,P0180,D0032,C00594,186,27726,47453,7479,0.98,2.26,86.15
S000110,2025-01-22,P0125,D0149,C00494,475,11267,35561,1100,7.65,1.12,82.23
S000111,2023-11-26,P0007,D0266,C00754,475,12859,40724,3847,5.77,4.22,89.84
S000112,2025-05-10,P0029,D0037,C00253,393,46563,26206,8931,0.19,4.55,96.55
S000113,2024-07-26,P0139,D0177,C00564,125,11373,49576,829,2.06,3.74,86.25
S000114,2025-09-03,P0033,D0013,C00321,17,25634,46477,8724,2.39,0.24,87.15
S000115,2024-12-18,P0134,D0183,C00039,366,8257,30317,6887,8.49,0.59,95.66
S000116,2024-02-20,P0111,D0145,C00465,389,23597,11159,4037,5.83,1.73,89.12
S000117,2025-05-16,P0079,D0265,C00771,26,43918,25491,2910,5.41,2.78,93.36
S000118,2024-06-25,P0160,D0088,C00938,213,42144,1206,3037,0.87,3.05,83.77
S000119,2023-12-04,P0179,D0046,C00839,385,24989,36590,4296,6.57,0.5,85.02
S000120,2025-03-29,P0058,D0119,C00411,1,20003,26409,6563,1.56,4.8,92.7
S000121,2024-04-21,P0026,D0019,C00412,291,31169,45733,1221,5.22,2.65,82.24
S000122,2025-04-02,P0174,D0220,C00492,265,43640,51652,2426,5.93,2.16,83.51
S000123,2025-03-03,P0029,D0233,C00438,343,48271,28211,3516,8.42,0.96,86.35
S000124,2024-03-31,P0004,D0094,C00479,38,17961,56859,6080,8.06,4.75,83.61
S000125,2025-06-07,P0099,D0251,C00783,233,13146,21705,9906,1.9,2.24,99.51
S000126,2024-08-08,P0141,D0250,C00949,260,46237,49733,7622,9.16,0.59,85.12
S000127,2025-06-17,P0039,D0282,C00072,308,42030,59147,1162,0.03,3.07,99.09
S000128,2024-10-18,P0015,D0232,C00582,403,1555,15114,7570,3.3,1.75,96.93
S000129,2024-01-15,P0119,D0046,C00220,485,43178,56985,5567,0.66,4.04,86.65
S000130,2024-09-09,P0029,D0046,C00004,261,4640,23633,4650,7.21,2.73,90.98
S000131,2023-10-11,P0157,D0014,C00862,476,47136,20531,5543,5,0.53,86.76
S000132,2025-04-04,P0075,D0085,C00913,238,2912,38379,8810,1.75,3.75,94.06
S000133,2025-02-09,P0116,D0003,C00290,106,20114,51998,3524,0.85,1.52,87.24
S000134,2023-12-29,P0032,D0028,C00380,247,39187,32667,6034,2.26,2.04,89.33
S000135,2025-07-13,P0130,D0157,C00902,304,24922,13474,5522,9.21,3.88,94.38
S000136,2025-08-14,P0175,D0175,C00804,343,49210,41902,309,6.78,0.53,88.33
S000137,2025-06-29,P0084,D0114,C00355,447,30500,48635,9158,2.42,4.89,93.79
S000138,2024-09-18,P0022,D0250,C00743,38,15429,56570,4040,8.94,3.51,87.4
S000139,2024-04-29,P0027,D0059,C00935,308,37684,4719,7400,1.36,0.96,87.99
S000140,2025-07-17,P0195,D0203,C00080,343,14687,45994,275,6.88,0.29,86.43
S000141,2023-12-10,P0081,D0239,C00066,46,24712,23478,7354,4.25,2.72,99.79
S000142,2023-11-09,P0126,D0234,C00136,210,15837,46703,4956,2.68,1.9,90.1
S000143,2023-11-10,P0184,D0095,C00399,93,49239,19449,3629,2.62,0.15,84.44
S000144,2024-12-01,P0092,D0141,C00703,220,13865,21764,8508,5.01,3.05,91.34
S000145,2025-01-06,P0021,D0113,C00347,256,45653,49429,5625,9.31,1.54,89.38
S000146,2025-05-31,P0047,D0109,C00848,137,13919,44939,3010,7.42,1.61,95.58
S000147,2025-03-16,P0101,D0289,C00961,231,36094,14301,703,6.62,0.81,98.72
S000148,2025-02-12,P0187,D0097,C00059,306,36569,28528,919,8.76,0.7,82.21
S000149,2023-09-28,P0084,D0016,C00778,202,22936,54897,7697,5.7,0.72,99.62
S000150,2025-03-04,P0006,D0044,C00519,66,49787,47823,1161,1.92,4.43,83.3
S000151,2025-04-25,P0147,D0230,C00880,461,31961,50089,3112,9.77,2.67,85.47
S000152,2023-11-28,P0185,D0108,C00714,38,47301,25569,3055,5.35,2.35,95.51
S000153,2025-04-16,P0197,D0217,C00844,155,12022,7400,284,3.15,3.52,83.11
S000154,2024-08-11,P0131,D0260,C00977,105,16297,43202,3548,7.78,1.6,96.35
S000155,2024-08-22,P0001,D0196,C00237,255,18368,11883,6518,4.64,4.11,93.47
S000156,2025-06-26,P0058,D0095,C00780,404,21483,27543,8893,0.12,0.99,96.11
S000157,2025-05-07,P0124,D0056,C00079,488,7463,19788,1409,3.2,4.01,91.27
S000158,2024-08-08,P0166,D0032,C00558,446,14632,50407,1471,4.57,0.28,99.68
S000159,2025-07-21,P0015,D0231,C00755,458,30703,28231,1112,3.73,0.78,91.86
S000160,2024-06-15,P0162,D0009,C00800,16,18407,30969,106,5.52,4.46,87.91
S000161,2024-05-12,P0189,D0191,C00672,79,47221,40245,8479,1.83,0.55,99.33
S000162,2025-08-08,P0163,D0200,C00115,13,46834,27412,4145,5.72,1.23,81.47
S000163,2024-11-23,P0064,D0161,C00986,370,42239,41303,1723,9.87,0.21,90.29
S000164,2024-11-26,P0025,D0087,C00462,102,18495,7140,9431,7.54,2.99,92.64
S000165,2023-11-15,P0024,D0021,C00626,404,26759,23542,8354,6.85,1.64,86.91
S000166,2024-01-14,P0012,D0076,C00126,152,22464,33946,8732,2.01,3.17,81.84
S000167,2023-11-09,P0018,D0141,C00602,489,21326,57764,1467,5.82,0.43,88.2
S000168,2025-05-31,P0015,D0126,C00573,178,34039,58091,686,8.2,1.98,96.21
S000169,2025-09-20,P0027,D0251,C00965,391,45939,55674,478,2.41,1.86,91.42
S000170,2025-08-28,P0072,D0084,C00500,87,11533,54335,9547,0.87,2.68,95.16
S000171,2023-12-30,P0060,D0048,C00829,88,13158,40005,2587,6.62,1.48,94.35
S000172,2025-03-09,P0174,D0078,C00102,29,21398,22324,4046,6.74,4.92,85.73
S000173,2025-09-16,P0145,D0030,C00626,389,41910,12658,836,8.04,1.58,85.07
S000174,2025-09-11,P0093,D0285,C00174,363,17149,33795,3447,6.3,3.48,95.82
S000175,2024-07-14,P0053,D0136,C00452,493,38711,48089,9165,8.48,1.83,83.4
S000176,2025-01-17,P0008,D0140,C00092,419,18152,28320,3338,2.66,2.67,91.31
S000177,2024-09-27,P0079,D0041,C00695,321,31772,15410,8249,0.35,1.13,99.13
S000178,2024-10-19,P0027,D0282,C00385,100,45735,42013,8390,7.33,0.86,90.51
S000179,2025-09-07,P0174,D0050,C00205,115,28307,42280,8705,3.86,4.86,96.13
S000180,2024-09-19,P0050,D0258,C00363,210,6166,37398,413,2.1,2.7,85.12
S000181,2023-11-06,P0199,D0270,C00707,454,8589,24287,6372,0.52,2.3,81.16
S000182,2023-12-07,P0131,D0134,C00817,343,38566,28881,7719,7.55,3.21,86.97
S000183,2024-04-01,P0093,D0234,C00498,74,48986,56925,1532,8.26,1.12,91.5
S000184,2025-02-01,P0192,D0128,C00537,135,1464,31467,9886,3.89,4.11,92.8
S000185,2025-03-01,P0172,D0104,C00234,428,3600,14541,437,8.85,1.24,90.72
S000186,2024-09-03,P0181,D0254,C00016,456,1916,6921,4441,4.16,2.71,88.66
S000187,2023-11-19,P0024,D0095,C00981,269,10644,1331,7916,9.52,0.64,99.71
S000188,2024-05-23,P0060,D0217,C00141,350,7126,35485,657,9.83,2.87,93.77
S000189,2025-08-10,P0122,D0061,C00948,466,8151,34084,4399,8.18,2.41,99.08
S000190,2025-05-15,P0131,D0268,C00620,78,12660,23628,7148,2.56,1.4,83.53
S000191,2025-07-09,P0148,D0241,C00420,459,1065,15583,1316,3.66,1.54,99.99
S000192,2025-08-28,P0046,D0013,C00456,380,27301,4551,3530,5.33,0.05,94.06
S000193,2024-10-30,P0015,D0147,C00300,490,13888,39866,5773,3.29,0.14,99.44
S000194,2024-03-01,P0153,D0240,C00339,125,43459,36685,9027,8.19,3,92.12
S000195,2023-11-30,P0199,D0089,C00303,38,14999,8792,2365,9.28,3.59,83.08
S000196,2024-02-11,P0017,D0095,C00892,269,8193,29892,4768,9.86,2.73,86.96
S000197,2023-11-23,P0126,D0293,C00592,310,29540,26938,8473,3.36,0.41,81.06
S000198,2024-11-25,P0084,D0025,C00076,106,12001,42107,5790,2.7,4.7,83.03
S000199,2025-05-24,P0009,D0272,C00788,44,10078,16348,5169,1.61,3.57,99.97
S000200,2025-06-12,P0166,D0166,C00914,225,24949,47978,307,0.47,1.19,98.32
S000201,2024-12-01,P0176,D0250,C00950,242,25245,24847,1293,1.77,3.36,98.04
S000202,2024-05-22,P0188,D0087,C00780,397,20131,43692,4334,2.85,0.56,80.04
S000203,2024-05-24,P0063,D0142,C00624,153,49520,8574,1289,3.91,3.9,89.01
S000204,2025-06-20,P0117,D0134,C00921,24,33811,36396,4764,1.1,2.4,95.64
S000205,2025-03-02,P0130,D0279,C00316,124,32543,21957,1758,8.2,2.05,84.53
S000206,2025-01-24,P0088,D0126,C00500,285,37610,15111,7663,6.19,0.05,88.4
S000207,2024-05-18,P0072,D0141,C00075,484,5705,32767,525,5.63,3.26,84.1
S000208,2024-02-23,P0139,D0103,C00726,454,19272,25432,9721,5.45,4.15,93.85
S000209,2024-12-09,P0064,D0226,C00366,402,32834,13210,5129,2.9,1.44,94.08
S000210,2024-06-29,P0072,D0063,C00546,348,14640,48986,5164,9.38,0.06,85.65
S000211,2025-07-15,P0021,D0294,C00653,261,17012,2209,4957,2.32,3.88,89.55
